店名:轻奢坊酒店公寓(仙林大学城万达茂店)	地区:栖霞区，距离仙林湖地铁站730m	价格:238
店名:南京颐和扬子饭店	地区:热河南路/三岔河，距离大观天地750m	价格:899
店名:维也纳国际酒店(南京南站河海大学地铁站店)	地区:将军山，距离河海大学·佛城西路地铁站565m	价格:319
店名:莫泰酒店(南京新街口汉中路医科大学店)	地区:新街口地区，距离金丝利喜来登酒店90m	价格:265
店名:古南都明基酒店	地区:湖南路，距离玄武门地铁站250m	价格:240
店名:九韵精品酒店(南工大慕斯荟店)	地区:浦口区，距离南京工业大学地铁站865m	价格:158
店名:狮子座精品酒店(禄口机场店)	地区:江宁区，距离禄口机场地铁站1.9km	价格:136
店名:苏侨精品酒店(南京南航翠屏山地铁站店)	地区:托乐嘉，距离翠屏山地铁站115m	价格:168
店名:苏宁威尼斯酒店	地区:明发滨江，距离柳洲东路地铁站370m	价格:400
店名:城驿联号连锁酒店(南京南站百家湖河定桥地铁站店)	地区:河定桥，距离河定桥地铁站140m	价格:150
店名:贵竹宾馆	地区:夫子庙地区，距离夫子庙地铁站360m	价格:88
店名:南京金陵晶元大酒店	地区:草场门/龙江，距离龙江地铁站645m	价格:928
店名:汉庭优佳(南京江浦文德路研创园店)	地区:江浦，距离雨山路地铁站1.3km	价格:234
店名:蓝湾假日酒店	地区:百家湖，距离百家湖地铁站245m	价格:432
店名:麗枫酒店(南京万达广场天印大道店)	地区:东山镇，距离南京南站5.7km	价格:262
